标题,短视频链接,f3bc7f5cffcbab3cc43c26ec2ad98e9ascss,点赞数,时长,发布者主页链接,发布者账号,发布时间
被忽视的糖尿病病因,https://www.douyin.com/video/6967166209565445380,,5319,03:53,https://www.douyin.com/user/MS4wLjABAAAA-9RDtCKbgT40O0R-oBSbhHvdCKTKcYXNXcr-cYh_4kmwZUZXuU9TWXQrTTrrfyf_,马欣教授,6月前
血糖控不好，原因都在这了#糖尿病 #高血糖 #健康真相官,https://www.douyin.com/video/6911218519975726350,合集,2453,00:41,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,11月前
糖尿病是因为“吃糖多”引起的吗？揭秘糖尿病发生的原因！ #糖尿病,https://www.douyin.com/video/6944631321788534029,合集,30,00:32,https://www.douyin.com/user/MS4wLjABAAAAjqKdu7m0zWsmFWeH3OQk2K7G0zcRbjG4KhIV5DUUJP_8kKsRg1tHjA--8HaEhLps,李平医生,8月前
糖尿病形成的原因#健康 #高血糖 #科普 ,https://www.douyin.com/video/7032544446818323743,合集,89,00:28,https://www.douyin.com/user/MS4wLjABAAAAeRd9ihp42EJvc01CKLkiES9ZBeNVFcSIB_Tycjq2wtnkEUYikw4wPggH7h1aqUZQ,刘博士谈健康,3周前
我国糖尿病的三大特点，不吃糖不是患糖尿病的关键因素#健康,https://www.douyin.com/video/6856701238629682432,,2.3w,02:34,https://www.douyin.com/user/MS4wLjABAAAAF5YRxatWMv5tMglPcTvSyWliYURpbHeudZ6uXJdle1k,李瑛,1年前
95%的糖尿病，不是吃糖所致！#健康 ,https://www.douyin.com/video/7030958962237361416,,840,00:28,https://www.douyin.com/user/MS4wLjABAAAA062xLtYILS8e4yU1ZsATqW6KHo9dqQKV8i7bjvPxjSqi1DyT73OLAa3gAmLwUtAr,韩昕健医生,3周前
#李焱主任 六个让你血糖居高不下的原因#糖尿病 #高血糖 ,https://www.douyin.com/video/6990180102420122917,合集,1966,00:48,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,4月前
糖尿病高发难控怎么办？@中国平安人寿 ,https://www.douyin.com/video/7027262618058444040,,1895,01:28,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,1月前
身体少了什么会得糖尿病 2种情况常见#健康科普 #医生 #健康养生,https://www.douyin.com/video/6949703361981680904,,1106,00:40,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,8月前
人为什么会得糖尿病？#健康大咖来了#健康中国科普中国医学科学院北京协和医院内分泌科主任医师肖新华,https://www.douyin.com/video/6992093102454459655,合集,656,01:10,https://www.douyin.com/user/MS4wLjABAAAAAdC548JiARqnjAJ0ZXajmlaEXoS8z-DRzMUUD0kkQ4U,健康中国,4月前
为什么得糖尿B @震洋健康  @中医陈其华医生 #健康真相官  #知识创作人,https://www.douyin.com/video/6913450889772535048,,1291,00:41,https://www.douyin.com/user/MS4wLjABAAAAIWrqtjZIcosga2_-czt6XAHsNoFIfbgxdDow_IxhNeHK3kqMP9Bp8JFj0OQ8gk8g,袁光雄医生,11月前
冰冻三尺非一日之寒，糖尿病的产生也是慢慢形成的 #糖尿病 #健康科普 ,https://www.douyin.com/video/7000030376303299879,合集,9386,00:50,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,3月前
糖尿病是糖吃多了造成的吗？告诉你真相！#糖尿病 #健康科普 #健康最重要 @抖音小助手 ,https://www.douyin.com/video/7026862027775757581,,373,01:16,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,1月前
这些不良生活习惯，也是导致你得 #糖尿病 的原因，放松心态 #糖尿病科普,https://www.douyin.com/video/6903786170568805639,合集,2047,00:43,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
有朋友说得糖尿病就是吃糖多的原因？这样的说法正确吗？#医学科普 #高血糖 ,https://www.douyin.com/video/7031488476860189989,,301,00:43,https://www.douyin.com/user/MS4wLjABAAAAjUuWau_l3GtSDo_Z00b50uYqgSMfZVh-aObCHzWPS38pMmIbpA1dHXV5ooC5CfLr,李亮医言良语,3周前
134.易得糖尿病的原因在这里！#抖音小助手 #同城 #科普健康中国新媒体 #糖尿病,https://www.douyin.com/video/6963642937158716686,,86,00:21,https://www.douyin.com/user/MS4wLjABAAAA4Iw2g5paSbiv6efDeFKDDeEfQa4i-SLSTHa835SYBOnx0hh5d0X96JBhwQ6I30FX,神经内科龚医生,6月前
糖是导致糖尿病发生的原因吗#健康科普 #涨知识 @震洋健康 @中医李山山医生 ,https://www.douyin.com/video/6992538000404073759,,137,00:36,https://www.douyin.com/user/MS4wLjABAAAArWi_6u4q1mrx7nU_9z_PGOIkYspZFdc8kCxarF03Vj4,中医谢永亮医生,4月前
二型糖尿病的形成原因和判断标准是什么。#减重 #减肥 #瘦身 ,https://www.douyin.com/video/7035878092363091211,,1006,00:18,https://www.douyin.com/user/MS4wLjABAAAAPD-34FUKu_zm9BTz92k0i1l7b_7G9IsmuyrGae663w4,张建成,1周前
#糖尿病 #健康 #科普 #中医 ,https://www.douyin.com/video/7023179327525162254,合集,5417,00:53,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1月前
#糖尿病 人主食吃的少，反而血糖升的更高，是什么原因#糖尿病科普,https://www.douyin.com/video/6918622126412975367,合集,2530,00:36,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,10月前
第309集 | 糖尿病不是爱吃糖引起的 #健康 #医学科普 #冷知识 @抖音小助手 ,https://www.douyin.com/video/6983440352011177220,合集,2.8w,00:49,https://www.douyin.com/user/MS4wLjABAAAAd4-IxvJqrK1OtpdjZRCTfyGkcViJ7jLime4iIfvDMPE,北大医院骨科孙浩林医生,5月前
人为什么会高血糖、糖尿病？一个动画告诉你！#糖尿病 #高血糖 #健康科普 #健康dou起来,https://www.douyin.com/video/6892612101492313344,,867,00:39,https://www.douyin.com/user/MS4wLjABAAAAbu6IlXnInbzcMl2efNmegiWUrOXeUQi6vIgh3pXyTa4,凤凰大健康,1年前
血糖越来越差，最关键的原因是你没保护好“它”#糖尿病 #糖尿病科普  ,https://www.douyin.com/video/7023197365448363302,,3910,00:29,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1月前
一年两次糖尿病酮症，背后原因给你警醒 #医学科普 #医学常识 #健康科普,https://www.douyin.com/video/6988105268362005764,,1857,00:59,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,4月前
#糖尿病，#脂肪肝，和#肥胖有很大关系，控制饮食，多运动#健康 #中医 ,https://www.douyin.com/video/6990895676884323597,,1136,00:59,https://www.douyin.com/user/MS4wLjABAAAApzqQdtEIKTDezqQGq5HyjACEDTYr3TcG4YETv8NqYvI,血管专家彭玉清,4月前
年轻人患糖尿病的原因及预防,https://www.douyin.com/video/6954017162260499723,,17,01:27,https://www.douyin.com/user/MS4wLjABAAAA-9RDtCKbgT40O0R-oBSbhHvdCKTKcYXNXcr-cYh_4kmwZUZXuU9TWXQrTTrrfyf_,马欣教授,1年前
2型糖尿病的根源找到了，1个因素完全可控，很多人却放弃了,https://www.douyin.com/video/6967274949140581635,,9,02:15,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,1年前
引起血糖升高的原因！看一看你都知道吗！#医学科普 #涨知识 ,https://www.douyin.com/video/6995361270207646984,,1092,01:01,https://www.douyin.com/user/MS4wLjABAAAAwW8_e-SwD9RavYaFrJCsBm5qInK0uT1CqnCiFHpDwR7p4P2Mt0WlPN52_TGrEJiz,黄雯,3月前
糖尿病是怎么引起的呢？  @震洋健康  #健康养生  #健康科普,https://www.douyin.com/video/6914994692631432461,,35,00:46,https://www.douyin.com/user/MS4wLjABAAAAvCx4jLS3YTFDWwFcpZokLdcHxoXUgTa_jEvKHFtEbJ4NqI15j6OPD9ZC2bv0AXET,普外科陈伟医生,11月前
糖尿病为何是万恶之源？看到最后震惊了！#糖尿病科普 @抖音小助手,https://www.douyin.com/video/6834777615807614216,,9308,01:00,https://www.douyin.com/user/MS4wLjABAAAAblHDQVv7xTIQG1CjWW3eyPYbunlyLj6G15ry0bJrK9uU5YQKnm3trymJazeTvj6L,木愚医生,1年前
空腹血糖高的两种原因#医学科普 #糖尿病 ,https://www.douyin.com/video/7001311070925098254,合集,7710,00:28,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,3月前
血糖忽高忽低，异常波动，要从这4方面找原因！#糖尿病 #血糖 @抖音小助手 ,https://www.douyin.com/video/7027752335069777165,,315,01:19,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,1月前
清晨空腹血糖高。是什么原因#糖尿病科普 #空腹血糖,https://www.douyin.com/video/6889055594079177991,合集,5555,00:51,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
关于糖尿病不为人知的秘密！#糖尿病 #医学科普,https://www.douyin.com/video/6957195796940868895,,54,00:38,https://www.douyin.com/user/MS4wLjABAAAAGumfIcvQ_VtgmSyjRljnnoi03PqYtQC1E-PbEzqKC7g,肾科李教授,7月前
检测发现空腹血糖高，原来是这个原因。#中医 #糖尿病,https://www.douyin.com/video/6931165648026373390,,1625,00:37,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,9月前
#清风计划 #糖尿病血糖控制不好，也许是这些原因在作怪@头条健康,https://www.douyin.com/video/6755475707721239815,,2287,01:57,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,2年前
早晨空腹血糖高是什么原因？#健康,https://www.douyin.com/video/6972368179628690719,,1022,01:14,https://www.douyin.com/user/MS4wLjABAAAA062xLtYILS8e4yU1ZsATqW6KHo9dqQKV8i7bjvPxjSqi1DyT73OLAa3gAmLwUtAr,韩昕健医生,5月前
糖尿病是怎么引起的？主要与这几大因素有关！,https://www.douyin.com/video/6867472926396943627,,17,02:14,https://www.douyin.com/user/MS4wLjABAAAAhWVdFY_-kUUEAYcjrqT9v1bF050qHelQjL0XpcxOc1o,有来科普,2年前
哪些饮食习惯会导致糖尿病？#糖尿病 #高血糖 #健康,https://www.douyin.com/video/6956460171593878815,,841,00:52,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,7月前
#健康  #糖 糖尿病是真的是因为吃糖多引起的吗？刘医生为您解答。,https://www.douyin.com/video/6815135853870927108,,11,00:54,https://www.douyin.com/user/MS4wLjABAAAA-Bin4sfCmkBrf84BnYctbt-LZ9foI5rZfX0T0gWtSwXTVu6bjYj73AduKAmXZ2ln,刘医生,1年前
#李焱主任 为什么晨起血糖比睡前高#高血糖 #糖尿病 ,https://www.douyin.com/video/6990935009070681375,合集,1147,00:49,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,4月前
糖尿病bing是怎么引起的？你知道吗？只有了解病因，才能针对性治liao！#涨知识 #健康 #糖友,https://www.douyin.com/video/6810945880275848448,,219,00:51,https://www.douyin.com/user/MS4wLjABAAAAKnjhVTuGqkamQpt9w0wvCBAk782jnBM0SWwg8aKixetwMLtkZtJt_o7t30dLRSSV,达生健康,1年前
除了吃喝，糖尿病形成的原因还有什么？希望你能注意到！,https://www.douyin.com/video/6867472697543134468,,3,02:44,https://www.douyin.com/user/MS4wLjABAAAAhWVdFY_-kUUEAYcjrqT9v1bF050qHelQjL0XpcxOc1o,有来科普,2年前
#糖尿病 患者餐三高是什么原因导致的？#高血糖 #健康 #科普 ,https://www.douyin.com/video/7020687305513946381,合集,6298,01:13,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1月前
#李焱主任 这几个因素会导致胰岛素缺乏#糖尿病 #胰岛素 ,https://www.douyin.com/video/6989813239332736269,合集,3568,01:17,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,4月前
为啥感觉好好的，突然就得糖尿病了？转给自己的家人看看#糖尿病 #体检 #科普,https://www.douyin.com/video/6900850523931512072,合集,1243,00:19,https://www.douyin.com/user/MS4wLjABAAAA4DfUlyz3X6P2ZroLtHp-qydaJBhEUpqU1UGaD5WncjA,老年病专家刘超,1年前
我怎么会得糖尿病呢#知识创作人 #健康真相官 #糖尿病 @南方健康 @抖音小助手,https://www.douyin.com/video/6898548716819483908,,2472,00:39,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
这种果汁可以喝，但别经常喝，会导致糖尿病和痛风！关注我，了解更多健康知识！,https://www.douyin.com/video/6829249238568946944,,22.5w,00:57,https://www.douyin.com/user/MS4wLjABAAAArpWodT3Pj5GRZkmJREQ9oT3EBk5nbGsIu80t-J854EU,医路向前巍子,1年前
引起血糖波动的常见原因#科普,https://www.douyin.com/video/7004744547842542856,,860,00:21,https://www.douyin.com/user/MS4wLjABAAAAN1ZddRMXpI5YGvJUEorvGzdQP9cPHV9oMoEcFAmIkHs,内分泌吴医生,3月前
#糖尿病 就是吃糖太多造成的吗 #健康 #医生 #湘雅 #中医,https://www.douyin.com/video/6824392973606833419,,3836,00:35,https://www.douyin.com/user/MS4wLjABAAAAIsQJ3wQqxrP69-zM6uG9bSEJgSeTHRZZzKnJATWTNqaRkSHvvNexaROClYBykTQ3,湘雅肖岚,1年前
男子心脏3血管多处狭窄并心梗，糖尿病根本原因，管理血糖很重要！ #科普健康中国新媒体  ,https://www.douyin.com/video/6980635815911197983,,4249,01:45,https://www.douyin.com/user/MS4wLjABAAAA7svG5EB1INLdkgi2zkMb0VJAeysaGXsYkXqlZ4QLNi8,心血管王医生,5月前
你知道吗，糖尿病不是爱吃糖引起的。#糖尿病 #医学科普,https://www.douyin.com/video/7002523415978446091,,1133,00:44,https://www.douyin.com/user/MS4wLjABAAAAMelCFtH29qviOtbXucadLjtB5tCK-d-rBmY03xu0j0s,薛博士谈骨筋,3月前
注意，它可能是糖尿病早期的信号#糖尿病 #胰岛素抵抗,https://www.douyin.com/video/6876008768010767623,合集,5267,00:45,https://www.douyin.com/user/MS4wLjABAAAADpTiEpkjX_fXgDZudeIOTE1fqPky6GK_mbCF0-8jYTA,聊健康的崔主任,1年前
糖尿病是糖吃多了引起的吗#科普知识,https://www.douyin.com/video/6978775588144270629,,2201,00:26,https://www.douyin.com/user/MS4wLjABAAAAN1ZddRMXpI5YGvJUEorvGzdQP9cPHV9oMoEcFAmIkHs,内分泌吴医生,5月前
他的糖尿病是怎么形成的？#这个视频有点料#科普 #糖尿病,https://www.douyin.com/video/6871223570941414667,,3778,00:49,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
糖尿病怎么得的呢？  @震洋健康  #健康  #健康养生,https://www.douyin.com/video/6915734260884213000,,16,00:44,https://www.douyin.com/user/MS4wLjABAAAAvCx4jLS3YTFDWwFcpZokLdcHxoXUgTa_jEvKHFtEbJ4NqI15j6OPD9ZC2bv0AXET,普外科陈伟医生,11月前
糖bing是糖吃多了引起的吗？#医学科普 @抖音健康,https://www.douyin.com/video/6943904360770456839,,3272,00:46,https://www.douyin.com/user/MS4wLjABAAAAhLBt7i6yxmTC2vJwd8Er78gtomzIAFrhKIYynlTW25w,内分泌科付留俊,8月前
吃糖多会患上糖尿病？体内这样东西的缺失，才是引发的根源,https://www.douyin.com/video/6835922488355048707,,48,01:51,https://www.douyin.com/user/MS4wLjABAAAArus7jEDX6L0MTOj-Z9Pf-4pWwKKWzlNFMlXFj31ZbdE,健康plus,1年前
空腹血糖和餐后血糖高的原因#糖尿病 #空腹血糖 #餐后血糖 ,https://www.douyin.com/video/7008850432525208845,,999,00:24,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,2月前
有时候你没注意，但是身体会提醒你#科普 @DOU+小助手 #DOU上热门,https://www.douyin.com/video/6819300873794047235,,3.2w,00:21,https://www.douyin.com/user/MS4wLjABAAAAAFxNd7N3v3vYkvq6J2IQkU0U9I2L19AnaLsGC_RlBc4,袁轶峰大夫,1年前
少吃东西，为何血糖反而高了？#健康 ,https://www.douyin.com/video/6987564505886657828,,2020,00:57,https://www.douyin.com/user/MS4wLjABAAAA062xLtYILS8e4yU1ZsATqW6KHo9dqQKV8i7bjvPxjSqi1DyT73OLAa3gAmLwUtAr,韩昕健医生,4月前
为什么糖尿病会出现ED#糖尿病 #糖尿病并发症 ,https://www.douyin.com/video/6997201396550356231,合集,1467,00:52,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,3月前
糖尿病人吃的很饱，很快又饿了，可能是这个原因#糖尿病 #健康科普 #医学科普,https://www.douyin.com/video/7035050736694119710,,747,00:37,https://www.douyin.com/user/MS4wLjABAAAAq5_kflNF3V6wJJSVx0hVSlY3Z84ybCISMNYXnxWm5y4,吕军医生,2周前
#肥胖 是#糖尿病 的很大诱因，#日常生活 中要合理饮食、多运动#控制体重 #糖尿病科普 @DOU+小助手,https://www.douyin.com/video/6917917742569934095,,854,00:47,https://www.douyin.com/user/MS4wLjABAAAABI0zAr-bk_SNYAzsyj5-Ogss4WnIEHvdibaahx9a1Eo,鲁平大夫,10月前
糖吃多了会得糖尿病吗？#糖尿病 #健康科普,https://www.douyin.com/video/6869319766947974413,合集,4.7w,00:22,https://www.douyin.com/user/MS4wLjABAAAADpTiEpkjX_fXgDZudeIOTE1fqPky6GK_mbCF0-8jYTA,聊健康的崔主任,1年前
引起血糖升高的原因有很多 你知道几个？#医学科普 #涨知识 ,https://www.douyin.com/video/6994999189390380324,,374,00:51,https://www.douyin.com/user/MS4wLjABAAAAwW8_e-SwD9RavYaFrJCsBm5qInK0uT1CqnCiFHpDwR7p4P2Mt0WlPN52_TGrEJiz,黄雯,3月前
#李焱主任 1型糖尿病偏胖的几个原因#糖尿病 @内分泌科梁颖主任 ,https://www.douyin.com/video/7007237801347468558,合集,332,01:06,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,2月前
#李焱主任 糖尿病足夜间不适的几个原因#糖尿病足 #糖尿病 ,https://www.douyin.com/video/6997362712011443487,合集,5467,00:36,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,3月前
糖友日渐消瘦，原因有这些#糖尿病#糖尿病科普 @DOU+小助手,https://www.douyin.com/video/6882290101209058575,,1716,00:35,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1年前
糖尿病为什么越来越瘦#抖音小助手 ,https://www.douyin.com/video/6993259439591623972,,7966,00:51,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,4月前
为什么说糖尿病要少喝汤？#糖尿病饮食 #喝汤 #煲汤 ,https://www.douyin.com/video/7028584742433934604,合集,6171,00:44,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,1月前
「六个一点儿」，远离糖尿病 #健康科普  #二型糖尿病 ,https://www.douyin.com/video/6982057853703998727,,5.1w,01:14,https://www.douyin.com/user/MS4wLjABAAAAd2SoOO020RyRJI8wJGJt5oH8CwqixxAQmd7138DMSZo,丁香医生,5月前
糖尿病肾病越来越多？这三种因素才是罪魁祸首，希望你一个没有,https://www.douyin.com/video/6967284012893179144,,2,01:39,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,3年前
糖尿病人出现低血糖的原因,https://www.douyin.com/video/6988437836886199559,,1532,00:26,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,4月前
糖尿病人爱出汗，是什么原因  #糖尿病  #糖尿病出汗异常  #医学科普,https://www.douyin.com/video/6890110929694985479,合集,2878,00:40,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
糖尿病人越来越瘦的原因是什么呢#健康 #中医 #糖尿b ,https://www.douyin.com/video/7037758110995451167,,6669,00:51,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,6天前
