页面网址,文本,文本1,文本2,文本3,文本4,文本5,文本6,文本7,文本8
https://www.douyin.com/user/MS4wLjABAAAA6yvIAkUe0sXKOD8gxZdirtN065Iw0HZ360dKdOnqB7c,“针知灼健”史医生,抖音号： szwyy18729,徐州市肿瘤医院影像科副主任医师 史志伟,"驭针知真相(病理)，驽灼（消融）获康健！
此生不悔入微创，来世还做穿刺人！
做一个有温度，有宽度的医者
三甲医院影像与微创副主任医师",86,11.0w,37.3w,235,766
https://www.douyin.com/user/MS4wLjABAAAAAySJZ54T5DV_9omXHSH-XKKDMiyUQnNn6gyA1M6XUFI,(合肥市第二人民医院),抖音号： 1194996433,合肥市第二人民医院,守护新生者,3049,1688,1.0w,215,
https://www.douyin.com/user/MS4wLjABAAAAKqkT1cYFX2CoUgsIYABtp1YVZeaEBCGdrVb21GMuCC8VUJo27ajTmCnn_Ixvqp4A,（小刘）控糖日记,抖音号： lyy15008800060,,"感谢抖音提供的绿色平台。
由于肥胖，两年前做了一次体检，体检结果很让我震惊，肥胖导致我出现三高（空腹血糖17.08毫摩尔每升）
确诊二型糖尿病，当时的沉重的打击了我，因此到了我人生中的低谷。但我不能这样堕落和消极。通过一年科学的运动和合理的膳食。现在不吃药不打针，血糖达到正常人的值，体重减掉27公斤。现在颜值提升，健康加倍，对生活更有信心了。关注我，每天分享合理饮食，指导你们健康减脂，运动控糖。",289,4998,1.2w,285,
https://www.douyin.com/user/MS4wLjABAAAAS4mFXeC7epJBl8twJsbpYHVUPgXaBrlsQz0SpXA0SpQ,《74》32号娶你,抖音号： 1759381869,,"下深海者得珍珠，下深浅者得鱼虾。
日落西山你不陪，东山再起你是谁。",1879,2056,1.2w,58,
https://www.douyin.com/user/MS4wLjABAAAAQUDSiA_NZH-M6ZrONT5C8cyOsDmLFfSZHnGAWwONCq4,《白衣执甲》栏目,抖音号： baiyizhijial,河南广播电视台《白衣执甲》栏目官方抖音账号,"专家个人账号都在关注里
与您一起守护生命的美好。",9,40.7w,99.2w,215,
https://www.douyin.com/user/MS4wLjABAAAAzbkJ08HpAB9fTlyZFLijEZ6P7WvTRqU97h-_UWEm6jg,《華西龍哥》,抖音号： 6666QGQ9999,,,3132,9429,9.6w,1081,
https://www.douyin.com/user/MS4wLjABAAAAAqyHbPTZslBUPnbt2TfLPHblOiOvNQAXbBmwQXy10II,【菲瘦不可】IFBB PRO,抖音号： SHEMAN27,,"简介：人间清醒，变美上瘾
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _


CCTV特邀舞蹈嘉宾
健身赛事十连冠
IFBB PRO 职业卡选手
12年塑形经验，成功帮助1000女性成功蜕变",3475,3845,1.7w,184,
https://www.douyin.com/user/MS4wLjABAAAAhTroAe49o1PDipan77cRUzxlgZD2uD5t-SVolhKCZRQqPudZR8pH29-FXzNvBPb0,【育儿有方】,抖音号： dy00777333,,"关注孩子的童年健康问题
每日分享育儿知识， 共同成长
成为优秀的父母，培养优秀的孩子
推荐好书在下方商品橱窗",118,34.3w,100.6w,150,
https://www.douyin.com/user/MS4wLjABAAAA_ANZaaw7qaIW_sLYls5pVJFM6E6pCkLaoJxrnxxPGKc,@艾琳,抖音号： 83707028,,"1989宝妈
2021小牛牛
初为人母努力学习 喜欢我们就留下关注吧
一起交流带娃经验",60,1.5w,6.5w,102,
https://www.douyin.com/user/MS4wLjABAAAA7Q1NV6LD1zlhv8iKOyS5KJn998W-c2-QjtWm7CNqWIY,@臭猪麻麻（二胎中……）,抖音号： 1479285347,,抖音上纪录结婚，生子，日常生活,200,271,3311,135,
https://www.douyin.com/user/MS4wLjABAAAAJVBSCA72wUupYOURiokgDhQhvVYjn4r7px1w71etyR4,@春春,抖音号： 1107748206,,花椒树下谈爱情，一个麻一个！,1169,996,1.9w,616,
https://www.douyin.com/user/MS4wLjABAAAATIB9WmiejcVlBT9m7yL9vZ1LVu2C81C1hHDLdY_-kUI,@何静,抖音号： 19965900583he,,一种环境养育一种人！,498,479,1.5w,730,
https://www.douyin.com/user/MS4wLjABAAAAwJ3HbIZ7JpGEffFvBTD_T89doYctm7aFsrYK93j65Ek,@何菩萨,抖音号： hhy0507,,"守望生命，静待花开
在平凡的岗位托起耀眼的太阳
助“你一生”平安
关注我，分享好物，带你了解更多产房趣事
和分娩相关知识。
+v zcs-hps
找我合作",148,4396,5.4w,101,
https://www.douyin.com/user/MS4wLjABAAAAGG4UuJU2yZuf0O94OJEgc2QMQMu7l6C4JeoaNh1QZnc,@敏宝的减脂餐,抖音号： minbaojiayou,,"承蒙厚爱，感谢关注
身高165，历经四个月，原体重150到105
每日分享健康低脂饮食，一起变瘦变美
感谢抖音绿色平台，记录美好生活",255,3985,5.1w,101,
https://www.douyin.com/user/MS4wLjABAAAAy80cYbWrOMUY4g8w0_WfZo7F2Ts3ozaIlkj4kcu9DO-bWV0ZpN9PvJuv2AxF6A0j,@努力上岸的小轩（小轩）,抖音号： xuanzhen183370,,,14,43,227,0,
https://www.douyin.com/user/MS4wLjABAAAAN3yQqPLRPtPqRO1LcvAaijUp2WzMHfgkBcwgJ5WBEoF-hc8QAG_rtwwlr8iSxFuj,@朴养道,抖音号： MG.liaoditan,陕西朴养道健康科技有限公司,1、  每天早上七点四十准时开播！2、『低碳生活、ST饮食』的实践者、受益       者、分享者。3、 我们将为大家从各个角度解析『低碳生活、ST饮食 』。4、帮更多人建立起『低碳生活、ST饮食』的   正确认知。,192,1.8w,7.0w,104,
https://www.douyin.com/user/MS4wLjABAAAAxgr4FHuygtFnaoC_Iuf73CP7294ETbo3JNhwaAMYO98,@人间烟火,抖音号： 1331598374,,"品一壶清茶，看人间百味
每天一篇养生知识
结识更多有缘人
感恩抖音平台让我遇见优秀的你
感谢粉丝的点赞和关注",93,1819,1.2w,188,
https://www.douyin.com/user/MS4wLjABAAAApyVn2PqRGwFWvIOYKSJjEdAEqV1KZ3YErJmA3VAWq9U,@十一,抖音号： cuifang1221,,A,340,398,2549,112,
https://www.douyin.com/user/MS4wLjABAAAAJw4T2i9yGGct7VgbM9D7JSnmjcPRJASR7xqb4ppO56g,@雨小蝶,抖音号： 688425894,,所以呢，在你心里我算什么？,1135,8718,8.6w,2329,
https://www.douyin.com/user/MS4wLjABAAAAxZYNnz2JxQdEgUt52YTaEhN8yAQK3qBAVMiezlVgKmE,@云南汪富贵.com,抖音号： 1474563463,,人间清醒,199,204,2997,250,
https://www.douyin.com/user/MS4wLjABAAAAEzsuvgnIyaWvWtcqpd1YTMubUJ7euYCDcOrMW8KFF-k,@重生哥@,抖音号： 1168275718,,水到绝境是风景！人到绝处是重生！,4398,2346,6284,108,
https://www.douyin.com/user/MS4wLjABAAAAUDiQON-AO_GAsEcmRMS2WABnJhH4_44V4Z5VEZJEAuM,*！那小胖。,抖音号： GJ3977,,万物皆上涨，唯有岁月减。,50,128,1398,242,
https://www.douyin.com/user/MS4wLjABAAAAlI9NpfxvoNjw-30AhPHn3s3XQgXribnTRPiU8K6GbEI,&月半＆,抖音号： 372285076,,,249,132,1662,201,
https://www.douyin.com/user/MS4wLjABAAAA3G3AAZHHWz0SfFxVtTwEu4TxaAHZ-lOMBZa2v5mRYq8,࿐ཉི 冰冰 ཉི࿐呀,抖音号： WB881155,,"欢迎有识之士前来洽谈合作
饲料添加剂，核心原料研发
代加工正规厂家的原料和无抗无药残核心原料加工，只和正规企业商家合作
专业知识+下方V
VX:wubingwm",1735,2100,2.5w,540,23768
https://www.douyin.com/user/MS4wLjABAAAAN_4lDdtrbkTpF2rzKMQeJFNv2qFC-H0B3rHEKbzQNe66gFRIEYJ6PALML3toGE3Z,～～无名～～,抖音号： dyzenxenk5r5,,,117,31,83,23,
https://www.douyin.com/user/MS4wLjABAAAA83jhnTPVoZKl4ndMOstv1vAMRFZn1joAHtv3yCXQSTRRAtH0fDbIRs0duPaH-r4Y,~同康王妃  娜娜～,抖音号： nana08280409,,"心若年轻，青春便在！

:18562512619",204,156,1145,87,
https://www.douyin.com/user/MS4wLjABAAAAv9ASGJ1UtBvc0tQS5DqGF0gMqKEWa5ZSmxgIthcgFMk,★超级赛亚蓝,抖音号： 646691cb,,"中国国家职业健身教练
社会体育指导员(健身方向)
诺亚第肩颈运动康复评估认证
诺亚第髋膝运动康复评估认证
美国体适能(AFAA)认证少儿竞技体能训练师美国国家运动医学会(NASM)认证青少年儿童体适能训练师
运动营养师认证",295,4628,1.2w,64,
https://www.douyin.com/user/MS4wLjABAAAAEqNoTBPKYceRG0K4n_GmTIcpLSjuWTZt2AZ4M5DR_Cg,♞小壕♞,抖音号： 145590979,,—美国奥普帝蒙星耀大使,1089,1171,494,4,
https://www.douyin.com/user/MS4wLjABAAAAx6dFRqtZxa4_41ArmPhOqPXSrhJCDYY99vsV5Fy5MYA,0ne22,抖音号： 104655002,,,155,88,386,110,
https://www.douyin.com/user/MS4wLjABAAAAaTQqxYHQlsFNUkvm4_SiiFPV3C_XasN7Sbsc45WiSNrkNHtaUurz8tMrOwdjDZ-M,双爷（学习中）,抖音号： 113116O,,记录美好生活,583,133,819,114,
https://www.douyin.com/user/MS4wLjABAAAA329sumx17WRAP4NaswMsbZ3O087gA7slbPBtHilnufq83-s37lhFwml1eOIkd-d-,,,,,,,,,
https://www.douyin.com/user/MS4wLjABAAAAgElHsEDVmga9uo51yM2kNvSRi49lbtirhzNxGOzY-VQ,135保健养猪站翼城县李莲波,抖音号： 597357662,,"长沙绿叶自2002年成立，
创新性地提出了保健养猪的概念和技术原理，
开发出135保健养猪技术，
研制出护舍安、牲命1号、母猪大壮素、奥得曼A、肥猪大荘素、护仔康1/2号、生安四剑A、生安四剑B等产品，
并荣获国家科学技术进步奖，
长沙绿叶专注于保健养猪领域，
致力于帮助广大养猪场实现轻松养猪、快乐赚钱。",772,434,1.2w,493,
https://www.douyin.com/user/MS4wLjABAAAAmbvc-6MJBKxqAcFrdMVoYtkDiosyKsYDbNRxUtmMPi9WuhugGBCuwV2X3FCXWRrp,1型小糖猪控糖记,抖音号： 1xingxiaotangzhu,,"️C肽的1型糖尿病博主｜不只分享实用控糖心得
门冬德谷｜无针动态
关注点赞，可获取糖友专属保姆级免费电子版书《甜蜜一生由自己》",89,3890,7076,193,
https://www.douyin.com/user/MS4wLjABAAAADpM4jbat_mbZoEckdUOutRY9CMX33wqNyk3xFC7_aa0,36.7 ℃明星听诊会,抖音号： SMG367,上海广播电视台都市频道《36.7℃明星听诊会》栏目官方抖音账号,"上海都市频道
《36.7℃》栏目
任何问题欢迎私信小编
每周五20点30分
记得看节目",22,10.5w,50.5w,155,
https://www.douyin.com/user/MS4wLjABAAAA2ABni34fCuU7utZMHSyYcboDnUl82yDhxiGqy_sua1w,3小时复述一本书,抖音号： dy80cdmnj3f5,,三小时复述一本书课程是大脑空间全国首创的高效学习课程，目前面向全国招生招商，帮助孩子解决时间问题，帮助校区解决招生转化问题，各位家长和校长感兴趣请咨询：15564028359（微信同号）,51,135,1370,234,
https://www.douyin.com/user/MS4wLjABAAAACDAHI72RKfel0nItWuWcY3qkYe4Yr3y_TjG4BNpvyjO8ZGjXMOfIDGRyj5_U71_K,42是猫,抖音号： 42iscat,,会点减脂。,16,109,592,22,
https://www.douyin.com/user/MS4wLjABAAAAefxvTOSPGY7-1KuEjrcMHIVZoXqH1x3Ef_P5sb7zlDg,610的控糖生活,抖音号： 65370044293,,分享一个新人的控糖生活！,16,2113,99,97,
https://www.douyin.com/user/MS4wLjABAAAAs2rD2hhn7w833H0_MwUXTWGtHJV6ZfUoRKT2r5KTz-3CDVJX-NskLM-LnFhp_EhP,72团鑫众康源大药房,抖音号： lmb.155692389666,,"今日起我便是佛教弟子，无欲无念
静心修养生心",183,188,2654,315,
https://www.douyin.com/user/MS4wLjABAAAAlm4AhUltYBh_SszoPC1TAjwK6C-uDUVWN0jpJJBZSE8NQmZYFgk4xuBD6rYRSfpL,80后的小娘们,抖音号： 80houdexiaon53,,"人生很短，恩情珍贵，别忘了帮过你的人，别丢了对你好的人。
（拒绝连赞）",3173,1408,1.7w,461,
https://www.douyin.com/user/MS4wLjABAAAAEMFtI9u2MKHhc86TrNaP2_KSG5vlXZeEAmeUce8BmuP11yBwz7CWoGacbgSLLlTU,90后小伙的抗癌日记,抖音号： hmk2317666,,"90后小伙的抗癌路
大家好我是明昆，2020年10月查出白血病移植后一直在抗排异抗感染的路上，我在努力的活着，感恩关注支持我的朋友谢谢你们。",81,402,1960,311,
https://www.douyin.com/user/MS4wLjABAAAAxT7TcVLtN6fA7VLQ5BfnltXZlrB2AgUc-la7i88tM0A,97年的茜茜~,抖音号： 84941128,,"一名热爱营养学的营养师
15156077042",254,106,1325,154,
https://www.douyin.com/user/MS4wLjABAAAAya1WU3R0oD-2oOO_wEtKGiVIBiGuIyaWPVw1COUB2ks,A-小萝卜头,抖音号： 919688,,"谢谢你们的关注，不要连赞，连赞拉黑
所以生活，一半惊喜，一半遗憾",197,602,6930,178,1322
https://www.douyin.com/user/MS4wLjABAAAA3huuFTUU6hEXCbGWpCcwHprplbq-sWEzmmJwp4fDNxI3Ee2lhmtIWqJP-y6WXJGp,A.cats,抖音号： New7.Cats,,————--Lovely cats.——————          流浪猫关爱计划发起人职业宠物营养师 爱护猫咪从懂做起,13,1907,6407,41,
https://www.douyin.com/user/MS4wLjABAAAANdcUkENaq9s2Oi8JEqtTNjvtm5tcBFSoDBLlgpaZD6k,a* 倩倩儿,抖音号： 130473619,,相爱容易，相知难！,722,595,9339,699,
https://www.douyin.com/user/MS4wLjABAAAA1TMtebjiehu8ux3Xji-8bpowqmpGWTSUwZY_eeNff8ZUP651qrnMLHOMduo9JyJC,A88980031,抖音号： A88980031,,本人专注于医疗服务10余年，希望用我的专业知识和资源给您带来帮助和购买到价优保真的产品。每天一款产品讲解。下午一点半到五点直播讲解。欢迎关注小微微A15391193339注明抖音。谢谢抖音官方,4,1269,441,39,
https://www.douyin.com/user/MS4wLjABAAAANGgznHKH5ePeINGiTxv3ceQ5hOdIwmM4wLKPfQ3jhsGZ5qVYetULjHe2oisJYEwT,ABM品牌管理-(杨田青),抖音号： dyzst7dd0on9,,我是做品牌管理的，有品质生活，美丽，健康养生，三大类产品，        ABM是一个国际品牌经销管理平台。依托于ACCESS品牌管理集团的全球品牌资源和单创会员商城，全方位赋能个体创业者经销海外优质品牌，通过线上线下全渠道，向全球客户输出优质的产品和服务，创造价值。v:yang650032,1830,1058,6336,154,
https://www.douyin.com/user/MS4wLjABAAAA9cGmpwCHR19RW-NNDZFe9KFFcPkCQcdI9rTRtNP_3sM,ACR陈舟医生,抖音号： chen70197,上海长海医院肾内科主治医师,"擅长：痛风、高尿酸、肾结石、尿路感染、尿毒症等疾病
进粉丝群聊，学健康知识",113,14.6w,14.0w,163,
https://www.douyin.com/user/MS4wLjABAAAAMv9NnZKdDlzdTQ2M3QgiFp6mmz_LaJBeTsYwlWqvzak,AHTV第一时间,抖音号： dysjdy2003,安徽广播电视台,"安徽广播电视台经济生活频道官方账号
栏目热线0551-63416060 0551-63658080
投稿邮箱：ahjsxmt@163.com,爆料时请务必留下联系方式！",55,693.4w,1.1亿,11037,4787
https://www.douyin.com/user/MS4wLjABAAAAIjLArwtCOYP-8cABiTejrWkBgOvfhgSkrFMQ_asxoJ8EU-A9FBdJjX95-pyVnT_u,AHTV医道健康,抖音号： yidaojiankang,安徽广播电视台《医道健康》栏目官方抖音账号,安徽广播电视台健康科普栏目《医道健康》,5,1380,9279,209,
https://www.douyin.com/user/MS4wLjABAAAA90JvZO2_wfM-C8W259F1a0gAV1Vj9e6KAGb5ld17TMo,Ai   一帘悠梦！,抖音号： 1245689166,,,798,360,2030,86,
https://www.douyin.com/user/MS4wLjABAAAA20qy1NCGk1BRv4MusOM7ILpA-IoycZ4I_39Ey-B-BTE,AIS-普拉提 王小冉,抖音号： 42996486,,国家三级健康管理师 一个有信仰的普拉提健身教练,181,195,1950,161,
https://www.douyin.com/user/MS4wLjABAAAAXFidtKP7lM6CppACSmkOq-I4cJlGTwmmihI_urvKpUf9yisde9CgSjoqneHzTsLk,Ai追击美丽姐,抖音号： 2191150356,,免费减脂：13602074139点击商品橱窗看美丽姐分享好物合作：13502151691直播：早8:30拉伸操 健身减肥操 健康拍打操。         美丽姐跳舞25年，希望把这种快乐传递给所有的家人们！感谢陪伴,358,129.4w,781.9w,1013,
https://www.douyin.com/user/MS4wLjABAAAAzczPnf0yFUaRvaDIdq6lYsbpf7D5K-uc1e7uoZy_evo,Alex自然风物志,抖音号： alexliu1969,, Nature        聆听自然的声音 Creatures   感受众生的灵动 Oasis          驻足芳林 | 漫游心灵の绿洲 Discovery   狂心顿歇 | 重新发现自然太美      【 自然奇观  • 生物观察 • 生活记录 • 唯美视听 】                感谢关注、点赞、转发、评论- ﹣ -   A粉v: alexliu1969  ﹣ - ﹣,2446,2.6w,65.7w,656,
https://www.douyin.com/user/MS4wLjABAAAAiV_wOfsBYj1NKBNsYUY4OaBkV99MmTx3TaBGgNongpI,anguofuyou,抖音号： anguofuyou,安国市妇幼保健院,,7,260,1120,75,
https://www.douyin.com/user/MS4wLjABAAAA5r0LEf91G0JXpZreXM3YWozscsZpu6ZSSgjpPKEn0qtOj9QWl4EXDFXBxIUl02PR,AnyCakes,抖音号： 14day33006,,"事不能一蹴而就，
打好基础很重要。",1,23,55,9,
https://www.douyin.com/user/MS4wLjABAAAA_1-fq6rI67TN_dBTCd2UqG0aK2bh2-rhOfE6bsyKuV4,A帅邦 厨卫电器 集成吊顶《葛》,抖音号： ge13855233595,,知足常乐,270,315,9307,348,
https://www.douyin.com/user/MS4wLjABAAAAKEgPhzT0IUGmDS3xa1wRRaA5J2JWqu_WsRE91eaKvJs,A微笑^O^人生,抖音号： 942596313,,,465,224,2190,193,
https://www.douyin.com/user/MS4wLjABAAAA0Vy-xsvqS9RHNq-pNU6ONvo2HS1OjYVIZ5sadz9tzQE,BabyCome梦小涵,抖音号： 200024355,,【  分享备孕，怀孕知识  】      陪伴你的孕育之旅      让新手妈妈不迷茫,235,228,5072,8,
https://www.douyin.com/user/MS4wLjABAAAA_j_92oaupqVTTA1bMEWetEAzK45Ey56_2izhsp318HuaJGZKXkTsIQy-SBbNkKQQ,BAISHUNAN_,抖音号： 472415988_,,"一个普通健身爱好者。
身高184cm 体重83kg。
分享健身日常。",17,1.7w,3.5w,56,
https://www.douyin.com/user/MS4wLjABAAAAwVr6Ir7Esr2K4g9TIyhi5swnMjaDgbeWk1Um7W0_NWM,BBBBetty,抖音号： 783425910,,,282,63,278,25,
https://www.douyin.com/user/MS4wLjABAAAAt7w5LTZ9ZZ5U8qHmXEhs4A8di8dyei0ObgBYtIw5aB4,BDTV生活健康频道,抖音号： BDTV3,BDTV生活健康频道官方账号,一个有趣的频道！,27,4.2w,43.4w,1711,
https://www.douyin.com/user/MS4wLjABAAAAwBcisLqpPoBsv2TYe5dAuE_WtYSwIokEI9Nlw-5KybQ,Beybey An（芳）,抖音号： 15168470151CC,,成功不是将来才有的，而是从决定去做的那一刻起，持续累积而成。,325,808,5622,78,
https://www.douyin.com/user/MS4wLjABAAAAPIv1FGRy9p-voYUi_Na7ZVZgbiWZ5qFc6avbnzLNNb8,bibuli,抖音号： 633003412,,,0,37,287,16,
https://www.douyin.com/user/MS4wLjABAAAA4hDdYYLlHWEsGB0wW0IubWPLa2cFbj3CE46qAuoJX5Y,兵go5732,抖音号： Bingo5732,,"不会飞的超人
欢迎关注谢谢点赞
不定期分享️",2226,3266,7993,32,
https://www.douyin.com/user/MS4wLjABAAAAPmwvDjBgeQG7YLfK9hLCB-K_fCp0IqqmIA2ProljDgc,Brock,抖音号： 7511241,,分享健身技巧,193,64,98,33,
https://www.douyin.com/user/MS4wLjABAAAA0yOFRpxqZ-Dvp99GCHw9SOMpV5JvXp-YXL_R3VayNt4,Burning Fitness,抖音号： 1103303200,,用心做减脂,92,29,128,20,
https://www.douyin.com/user/MS4wLjABAAAAwfo2m2xvnjd7xmmlfRdPVKigsIHi0p2npOjYeZ02wrM,BYHEALTH汤臣海外优选,抖音号： dyndstntnf62,菲比（广州）传媒科技有限公司,"点关注，带你了解关节养护小知识
关爱·品质·生活",8,1.1w,1.1w,17,
https://www.douyin.com/user/MS4wLjABAAAA-_p7RqCYXVQjb97mGRrAYbfOZwOibvuxLviTg1zt_EKz-FK32aserEwsfZvOnpaY,bztpzy,抖音号： bztpzy,,,15,69,119,13,
https://www.douyin.com/user/MS4wLjABAAAAblV6tHg9ibOBvYw_71A3OSU181FoTdFMJs1ATdqiWP0,B超先生,抖音号： 2230329978,阳江市人民医院超声医学科副主任医师 梁启硕,"阳江市人民医院超声医学科副主任医师
个人言论与单位无关
分享所学，分享健康",251,4207,9119,56,
https://www.douyin.com/user/MS4wLjABAAAAdb13lpX86W_iB7XKJSTYbIWcFFsANeRWyf1ebtE30w4jOw7ioLxuNHcBW3am2NNs,Cat,抖音号： 68623348883,,"往后余生做一个积极向上的女人！
每天都要能量满满的正能量！
照顾好生我的和我生的人，
爱你们！",1793,1175,1.9w,928,
https://www.douyin.com/user/MS4wLjABAAAA_7mHSQX4nAA9j4lcoJ96HGXW2MKdB0rtxBRORTptId-wgKwKheKhy_ljUHxQv2JH,cci莹,抖音号： cciying49923,,一个人的健康，要从每天早餐开始！,90,433,957,257,41930
https://www.douyin.com/user/MS4wLjABAAAAVOjfu_XLA6cwor9VIf4YzD32_CpGg7P6fKJYxsXUT6s,CCTV4,抖音号： CCTV4..,CCTV4中文国际频道,抖出你的国际范儿,13,537.1w,5050.7w,11471,
https://www.douyin.com/user/MS4wLjABAAAAYcQ8O3eqErbTWNPQZaul4VLLwcg5GEoqn1ugll6R-Vo,CCTV生活圈,抖音号： shenghuoquancctv,CCTV《生活圈》官方账号,"生活中的各种难题，小圈帮你来解答！
我是你的生活专属管家～",119,299.1w,1180.0w,2153,1736
https://www.douyin.com/user/MS4wLjABAAAAhyY58pSDCwnH7p5tmsRFLR3fHpv5SYQuFCNWJfW81oouwgY_5hgZxM0CDhzhPNzw,Cc姐,抖音号： 51271303822,,,31,35,850,35,
https://www.douyin.com/user/MS4wLjABAAAAyekn-QlMPz_U9oYPrKAh2mmKi2bale7YiyYWspXf89Y,CETV新闻,抖音号： CETVxinwen,中国教育电视台新闻中心官方账号,教育乃国之大计、党之大计！,172,295.7w,5051.5w,3114,
https://www.douyin.com/user/MS4wLjABAAAAepyfQEEHOZeV9Mfkz9YR4-gQCETpZZ42slTRcGNC_f4,CGTN,抖音号： CGTN,中央广播电视总台CGTN 官方抖音号,中国环球电视网（CGTN）于2016年12月31日开播，是一个多平台的国际传播机构，旨在为全球受众提供准确、及时的信息资讯和丰富的视听服务，促进中国与世界沟通了解，增进中外文化交流与互信合作。,9,925.9w,2.0亿,3680,
